11 30 2015 05 21  -5.6  21.9
11 30 2015 05 22  -5.7  21.8
11 30 2015 05 23  -5.6  21.9
11 30 2015 05 24  -5.6  21.9
11 30 2015 05 25  -5.7  21.8
11 30 2015 05 26  -5.7  21.8
11 30 2015 05 27  -5.7  21.8
11 30 2015 05 28  -5.7  21.8
11 30 2015 05 29  -5.7  21.8
11 30 2015 05 30  -5.8  21.6
11 30 2015 05 31  -5.7  21.8
11 30 2015 05 32  -5.8  21.6
11 30 2015 05 33  -5.8  21.6
11 30 2015 05 34  -5.7  21.8
11 30 2015 05 35  -5.8  21.6
11 30 2015 05 36  -5.8  21.5
11 30 2015 05 37  -5.8  21.6
11 30 2015 05 38  -5.8  21.5
11 30 2015 05 39  -5.8  21.5
11 30 2015 05 40  -5.8  21.5
11 30 2015 05 41  -5.8  21.5
11 30 2015 05 42  -5.8  21.5
11 30 2015 05 43  -5.8  21.5
11 30 2015 05 44  -5.8  21.5
11 30 2015 05 45  -5.8  21.5
11 30 2015 05 46  -5.8  21.6
11 30 2015 05 47  -5.8  21.5
11 30 2015 05 48  -5.8  21.5
11 30 2015 05 49  -5.8  21.5
11 30 2015 05 50  -5.8  21.5
11 30 2015 05 51  -5.9  21.4
11 30 2015 05 52  -5.9  21.4
11 30 2015 05 53  -5.9  21.3
11 30 2015 05 54  -5.9  21.3
11 30 2015 05 55  -5.9  21.3
11 30 2015 05 56  -5.9  21.3
11 30 2015 05 57  -5.9  21.3
11 30 2015 05 58  -6.0  21.2
11 30 2015 05 59  -6.0  21.2
11 30 2015 06 00  -6.0  21.2
11 30 2015 06 01  -6.0  21.2
11 30 2015 06 02  -6.1  21.1
11 30 2015 06 03  -6.1  21.1
11 30 2015 06 04  -6.1  21.0
11 30 2015 06 05  -6.1  21.0
11 30 2015 06 06  -6.2  20.9
11 30 2015 06 07  -6.2  20.9
11 30 2015 06 08  -6.2  20.9
11 30 2015 06 09  -6.2  20.9
11 30 2015 06 10  -6.2  20.8
11 30 2015 06 11  -6.2  20.9
11 30 2015 06 12  -6.2  20.9
11 30 2015 06 13  -6.2  20.9
11 30 2015 06 14  -6.2  20.8
11 30 2015 06 15  -6.2  20.8
11 30 2015 06 16  -6.2  20.8
11 30 2015 06 17  -6.3  20.6
11 30 2015 06 18  -6.3  20.6
11 30 2015 06 19  -6.4  20.5
11 30 2015 06 20  -6.4  20.5
11 30 2015 06 21  -6.4  20.5
11 30 2015 06 22  -6.4  20.4
11 30 2015 06 23  -6.4  20.5
11 30 2015 06 24  -6.4  20.4
11 30 2015 06 25  -6.4  20.4
11 30 2015 06 26  -6.5  20.3
11 30 2015 06 27  -6.4  20.4
11 30 2015 06 28  -6.5  20.3
11 30 2015 06 29  -6.6  20.2
11 30 2015 06 30  -6.6  20.2
11 30 2015 06 31  -6.6  20.2
11 30 2015 06 32  -6.6  20.2
11 30 2015 06 33  -6.5  20.3
11 30 2015 06 34  -6.6  20.2
